date,open,high,low,close,volume
2021-12-18,46133.83,48300.01,45500.0,46914.16,90174.26545
2021-12-21,46914.17,51375.0,46630.0,50838.81,99910.6719
2021-12-24,50838.82,51810.0,49412.0,50775.49,73390.24796
2021-12-27,50775.48,52088.0,46096.99,46464.66,114135.78485
2021-12-30,46464.66,48548.26,45678.0,47722.65,84894.7569
2022-01-02,47722.66,47990.0,45500.0,45832.01,81493.9511
2022-01-05,45832.01,47070.0,40610.0,41566.48,145500.9998
2022-01-08,41566.48,42786.7,39650.0,41822.49,106406.29556
2022-01-11,41822.49,44500.0,41268.93,42560.11,106150.60771
2022-01-14,42558.35,43800.0,41725.95,43071.66,75179.29179
2022-01-17,43071.66,43176.18,41138.56,41660.01,88571.89029
2022-01-20,41660.0,43505.0,34008.0,35071.42,221662.57049
2022-01-23,35071.42,37550.0,32917.17,36958.32,185416.678581
2022-01-26,36958.32,38919.98,35507.01,37716.56,165005.30926
2022-01-29,37716.57,38744.0,36632.61,38466.9,84415.40789
2022-02-01,38466.9,39265.2,36250.0,37311.61,102450.23792
2022-02-04,37311.98,42656.0,37026.73,42380.87,119641.4695
2022-02-07,42380.87,45492.0,41645.85,44372.72,150369.08122
2022-02-10,44372.71,45821.0,41688.88,42217.87,133889.31642
2022-02-13,42217.87,44751.4,41550.56,44544.86,89837.40749
2022-02-16,44544.85,44549.97,39450.0,39974.44,119563.79005
2022-02-19,39974.45,40444.32,36800.0,37008.16,113829.03017
2022-02-22,37008.16,39843.0,34322.28,38327.21,217822.97247
2022-02-25,38328.68,40348.45,37000.0,37699.07,132165.27524
2022-02-28,37699.08,45400.0,37450.17,43892.98,193471.38812
2022-03-03,43892.99,44101.12,38407.59,39397.96,143268.4286
2022-03-06,39397.97,39693.87,37155.0,38730.63,159146.89841
2022-03-09,38730.63,42594.06,38223.6,38729.57,198361.60896
2022-03-12,38729.57,39947.12,37555.0,39671.37,103771.64166
2022-03-15,39671.37,39804.68,38636.7,38677.26,10184.77695
