ta_indicators,cumulative_profit,accuracy
14 period RSI_s1_title_compound,1.150521629178064,0.5185185185185185
4 period SMA_consecutive_volume,1.103930367418725,0.5476190476190477
4 period SMA_VWAP._pivot,1.103930367418725,0.5476190476190477
12 period EMA_5 period EMA_title_neu,1.0516661551628261,0.5443037974683544
12 period EMA_text_compound_title_neu,1.0516661551628261,0.5443037974683544
12 period EMA_text_neu_title_neu,1.0516661551628261,0.5443037974683544
12 period EMA_text_pos_title_neu,1.0516661551628261,0.5443037974683544
12 period EMA_title_compound_title_neu,1.0516661551628261,0.5443037974683544
12 period EMA_title_neg_title_neu,1.0516661551628261,0.5443037974683544
12 period EMA_title_neg_title_pos,1.0516661551628261,0.5443037974683544
4 period SMA_r3_title_neg,1.0516661551628261,0.5443037974683544
4 period SMA_title_neg_title_pos,1.0516661551628261,0.5443037974683544
5 period EMA_title_neg_title_pos,1.0516661551628261,0.5443037974683544
EMA_DIFFERENCE_title_neg_title_pos,1.0516661551628261,0.5443037974683544
low_title_neg_title_pos,1.0516661551628261,0.5443037974683544
text_pos_title_neg_title_pos,1.0516661551628261,0.5443037974683544
title_compound_title_neg_title_pos,1.0516661551628261,0.5443037974683544
title_neg_title_neu_title_pos,1.0516661551628261,0.5443037974683544
