date,text_pos,EMA_DIFFERENCE,5 period EMA,y_test,predictions,daily returns,model returns
2021-12-21,0.0,-247.4416922894743,47567.70514285715,-1.0,-1.0,0.042113511144609594,
2021-12-22,0.0,-325.81253194419696,47929.00266148616,1.0,-1.0,-0.00617142034302387,0.00617142034302387
2021-12-23,0.0,-659.9063232960689,48938.32044885012,-1.0,-1.0,0.04632095555789717,-0.04632095555789717
2021-12-24,0.0,-801.0680337411832,49582.29830786084,-1.0,-1.0,-0.00036999292469663825,0.00036999292469663825
2021-12-25,0.0,-771.6382751156707,49859.560353296,1.0,-1.0,-0.008271153089334793,0.008271153089334793
2021-12-26,0.0,-771.7348955768975,50168.44121331362,-1.0,-1.0,0.007456994749567736,-0.007456994749567736
2021-12-27,0.0,-718.8037637418674,50347.487446927546,-1.0,-1.0,-0.0014583808053845182,0.0014583808053845182
2021-12-28,0.0,-141.41980826268264,49408.07806211467,-1.0,-1.0,-0.06228028237462302,0.06228028237462302
2021-12-29,0.0,366.0011386394399,48423.566275364865,1.0,-1.0,-0.022696573723480662,0.022696573723480662
2021-12-30,0.0,521.6917539275528,47988.340276128234,-1.0,-1.0,0.014122776320756536,-0.014122776320756536
2021-12-31,0.0,734.1089807071185,47396.96985879311,1.0,-1.0,-0.01918343188485272,0.01918343188485272
2022-01-01,0.0,558.7041081437274,47505.640201829425,-1.0,-1.0,0.032579403261964845,-0.032579403261964845
2022-01-02,0.0,505.9626261118683,47432.43726922503,-1.0,-1.0,-0.009145971566960398,0.009145971566960398
2022-01-03,0.0,595.2815255670648,47103.509802609035,-1.0,-1.0,-0.01776586732106511,0.01776586732106511
2022-01-04,0.0,721.5056901799326,46679.54903792011,-1.0,-1.0,-0.013221562197902492,0.013221562197902492
2022-01-05,0.0,1171.4167333973455,45603.193564654095,-1.0,-1.0,-0.0519479726069183,0.0519479726069183
2022-01-06,0.0,1429.0061100108214,44762.78671669158,-1.0,-1.0,-0.008488156694659077,0.008488156694659077
2022-01-07,0.0,1767.3553254083236,43697.25620059021,1.0,-1.0,-0.0351845107655554,0.0351845107655554
2022-01-08,0.0,1846.8511976506197,43024.71084905279,1.0,-1.0,0.002724791707163998,-0.002724791707163998
2022-01-09,0.0,1763.7431768305105,42637.99858473992,-1.0,-1.0,0.004435728245905768,-0.004435728245905768
2022-01-10,0.0,1633.5553158113107,42366.15521277593,1.0,-1.0,-0.0010063390041520348,0.0010063390041520348
2022-01-11,0.0,1314.8864082973596,42487.202272393355,1.0,-1.0,0.021682114096984728,-0.021682114096984728
2022-01-12,0.0,858.6794183906168,42959.02705130381,-1.0,-1.0,0.027460554575093665,-0.027460554575093665
2022-01-13,0.0,796.6414923858101,42826.0536606659,1.0,-1.0,-0.03058015163545902,0.03058015163545902
2022-01-14,0.0,631.5172064030921,42904.022847060645,1.0,-1.0,0.011744565509816507,-0.011744565509816507
2022-01-15,0.0,501.61141312784457,42964.11210695456,-1.0,-1.0,0.0005650260706233645,-0.0005650260706233645
2022-01-16,0.0,404.8464013286357,42999.96148772879,-1.0,-1.0,-0.0002931462953200681,0.0002931462953200681
2022-01-17,0.0,485.1049116775539,42733.84724728258,1.0,-1.0,-0.020199825128634497,0.020199825128634497
2022-01-18,0.059,478.5318036674871,42606.6047004438,-1.0,-1.0,0.003566213808853691,-0.003566213808853691
2022-01-19,0.0,574.1781372690166,42291.07291693412,-1.0,-1.0,-0.01634180296051302,0.01634180296051302
2022-01-20,0.0,774.0234188669492,41754.351698889775,-1.0,-1.0,-0.023502154704235556,0.023502154704235556
2022-01-21,0.0,1605.9086575343463,39984.670592438146,-1.0,-1.0,-0.10411763158690412,0.10411763158690412
2022-01-22,0.0,2238.9532277419203,38346.92006170129,1.0,-1.0,-0.03769730590849685,0.03769730590849685
2022-01-23,0.0,2270.8569027581616,37646.1299460674,1.0,-1.0,0.033449743409305954,-0.033449743409305954
2022-01-24,0.0,2097.800594956825,37317.53660099436,1.0,-1.0,0.011472069593911227,-0.011472069593911227
2022-01-25,0.0,1839.1356076777447,37197.79772677697,-1.0,-1.0,0.008127854753159802,-0.008127854753159802
2022-01-26,0.0,1625.6071146912436,37068.31181264669,1.0,-1.0,-0.004031027384361674,0.004031027384361674
2022-01-27,0.0,1358.8596370005253,37098.907875917655,1.0,-1.0,0.009529103211304513,-0.009529103211304513
2022-01-28,0.061,1038.8703715919182,37304.7919209564,1.0,-1.0,0.01497466368497391,-0.01497466368497391
2022-01-29,0.0,724.3027850653816,37592.141284059784,-1.0,-1.0,0.011938522495158699,-0.011938522495158699
2022-01-30,0.0,560.8579700066402,37688.68085680636,1.0,-1.0,-0.0074693110564038045,0.0074693110564038045
2022-01-31,0.0,334.90478641990194,37948.08723924397,1.0,-1.0,0.015446484007078931,-0.015446484007078931
2022-02-01,0.0,149.41415515322296,38196.921493707385,-1.0,-1.0,0.005919114875386322,-0.005919114875386322
2022-02-02,0.0,359.7993066383642,37763.40099478507,1.0,-1.0,-0.046472388000493026,0.046472388000493026
2022-02-03,0.0,385.50681505317334,37612.80399628719,1.0,-1.0,0.011254497733651725,-0.011254497733651725
2022-02-04,0.0,-384.72092808274465,38933.28599890543,-1.0,-1.0,0.11424433306415893,-0.11424433306415893
2022-02-05,0.0,-765.0781517619253,39749.72066650604,1.0,-1.0,-0.004610065124446061,0.004610065124446061
2022-02-06,0.0,-1119.5567557908653,40626.770444744914,1.0,-1.0,0.02412318803632174,-0.02412318803632174
2022-02-07,0.0,-1523.9684010174751,41697.843630161755,1.0,-1.0,0.03442874108058658,-0.03442874108058658
2022-02-08,0.0,-1710.3745541228927,42479.55908693595,1.0,-1.0,0.004630475508776266,-0.004630475508776266
2022-02-09,0.0,-1786.9901449476238,43110.61272471086,-1.0,-1.0,0.007486548937753801,-0.007486548937753801
2022-02-10,0.0,-1581.1156809503882,43238.88848315235,-1.0,-1.0,-0.01977070596528674,0.01977070596528674
2022-02-11,0.0,-1182.5754343224762,42950.502322083914,-1.0,-1.0,-0.025789140194926174,0.025789140194926174
2022-02-12,0.0,-869.1390140948715,42706.29154804598,-1.0,-1.0,-0.003678222332563097,0.003678222332563097
2022-02-13,0.0,-618.2848462713737,42488.747698691404,1.0,-1.0,-0.0038895851448687013,0.0038895851448687013
2022-02-14,0.0,-531.6306709679702,42504.47846579456,1.0,-1.0,0.01146820514552127,-0.01146820514552127
2022-02-15,0.0,-816.0510966194124,43184.60564387126,-1.0,-1.0,0.04722876701443535,-0.04722876701443535
2022-02-16,0.0,-814.1570260357839,43414.25709591602,-1.0,-1.0,-0.015070201141052064,0.015070201141052064
2022-02-17,0.0,-168.6555530222031,42448.07139727216,-1.0,-1.0,-0.07653493356819008,0.07653493356819008
2022-02-18,0.0,301.26975484091963,41623.52759817849,1.0,-1.0,-0.013359265667383102,0.013359265667383102
2022-02-19,0.0,532.1083285277418,41108.74173211776,-1.0,-1.0,0.0026199241315199018,-0.0026199241315199018
2022-02-20,0.0,938.7761029310859,40201.4578214104,-1.0,-1.0,-0.042223429277602254,0.042223429277602254
2022-02-21,0.062,1367.4976194656847,39137.02521427247,1.0,-1.0,-0.035916689265527824,0.035916689265527824
2022-02-22,0.0,1319.8500861626308,38834.79347618143,-1.0,-1.0,0.03302433841617636,-0.03302433841617636
2022-02-23,0.0,1401.2408136257,38306.53231745404,1.0,-1.0,-0.025642467642837508,0.025642467642837508
2022-02-24,0.066,1181.9524250659088,38313.42487830269,1.0,-1.0,0.02891811304211722,-0.02891811304211722
2022-02-25,0.0,837.5436993046096,38615.33991886853,-1.0,-1.0,0.02327223922638777,-0.02327223922638777
2022-02-26,0.0,618.6992643937192,38782.466612579046,-1.0,-1.0,-0.0026122429413982795,0.0026122429413982795
2022-02-27,0.0,717.9694441659594,38421.334408386,1.0,-1.0,-0.03624153558887355,0.03624153558887355
2022-02-28,0.0,-243.01487578768138,40000.88960559077,1.0,-1.0,0.14485582800848928,-0.14485582800848928
2022-03-01,0.0,-999.014819450058,41474.32640372724,-1.0,-1.0,0.029221501390175986,-0.029221501390175986
2022-03-02,0.0,-1279.43618124348,42280.54426915151,-1.0,-1.0,-0.011891169081429398,0.011891169081429398
2022-03-03,0.0,-1113.7324353684598,42338.36284610101,-1.0,-1.0,-0.032783830124999525,0.032783830124999525
2022-03-04,0.0,-369.8788091848037,41275.12856406733,1.0,-1.0,-0.07785697460781071,0.07785697460781071
2022-03-05,0.0,23.952949875529157,40649.40570937821,-1.0,-1.0,0.006368034052761873,-0.006368034052761873
2022-03-06,0.0,420.27177833406313,39906.54047291881,-1.0,-1.0,-0.024802045588147248,0.024802045588147248
2022-03-07,0.0,699.9675953748592,39267.02698194587,1.0,-1.0,-0.011264988947395915,0.011264988947395915
2022-03-08,0.0,688.556473447039,39088.22798796392,1.0,-1.0,0.019549068126776703,-0.019549068126776703
2022-03-09,0.0,70.46153832944401,40039.388658642616,-1.0,-1.0,0.08290802395933139,-0.08290802395933139
